,ID_x,Neighborhood,FID,NAME_x,ST_ABBREV_x,OBJECTID,Mean_am_T_,Mean_am_HI,Mean_p2_T_,Mean_p2_HI,Mean_ev_T_,Mean_ev_HI,Shape__Area,Shape__Length,TC_ID_y,Existing Canopy,Possible Canopy Percentage,Possible Impervious Canopy Percentage
0,25017342400,Everett,1,250173424.0,MA,1,76.4829737345,77.751982371,91.4875920614,96.1149635315,85.9629910787,91.1298611959,7041.68823242188,1561.64307148569,1,23.0258409124,76.8009239209,63.5195611376
1,25017350103,Somerville,2,250173501.03,MA,2,76.9199236854,78.1482196097,92.1177609977,97.1425571765,85.9837571484,91.7142994768,62339.3889160156,3873.24532691878,2,0.987413723102,47.2123426715,38.928136419
2,25017350104,Somerville,3,250173501.04,MA,3,76.8289680481,77.9925632477,91.6433238983,96.9596328735,86.0014419556,91.8610553741,4886.5849609375,363.457910146947,3,0.0,0.0,0.0
3,25017351403,Somerville,4,250173514.03,MA,4,76.6545504866,77.8775019152,91.7679974786,97.1971724938,86.5336019582,91.889831543,29708.6750488281,1893.66474799724,4,15.0853794079,42.4337341282,31.9086591897
4,25017351404,Somerville,5,250173514.04,MA,5,76.9308573405,78.1286061605,92.1160761515,96.6539433797,85.9934844971,91.2926661174,1499.3759765625,186.413186667344,5,0.0,0.0,0.0
5,25017351500,Somerville,6,250173515.0,MA,6,77.1266322889,78.4216930992,91.9757630198,96.5141930831,85.5077157272,90.4485766762,24299.9194335938,4424.86240908439,6,4.74614143253,30.9388836016,30.798195887
6,25017352101,East Cambridge,7,250173521.01,MA,7,76.9585051998,78.2101760372,92.6123142858,97.8212285196,86.5068876205,91.8290304369,35344.4072265625,3641.9467809122,7,0.0,23.323374591,21.3828425096
7,25017352102,East Cambridge,8,250173521.02,MA,8,77.0204137166,78.3036448161,91.8300857544,97.9062525431,86.4795583089,91.0671374003,7235.95922851563,632.631319441397,8,5.83119475335,6.11633875107,0.0
8,25017373100,Newton Corner,9,250173731.0,MA,9,74.7234438942,76.0063058762,90.762147086,96.8118213472,83.1178850446,89.0967287336,19428.7960205078,1200.02224812206,9,18.210712797,42.5385577324,10.4887453105
9,25017373500,Newton Corner,10,250173735.0,MA,10,73.8582026742,75.1700713418,89.9626853249,96.2316624035,82.9243269834,88.7380185561,45778.9851074219,5691.82172481463,10,50.0010942595,39.0322368853,8.20475784037
10,25017373600,Chestnut Hill,11,250173736.0,MA,11,73.7241812717,75.0046342143,89.0072009483,93.2596212666,82.5995303379,87.3344931442,94081.2886962891,8004.81278504837,11,20.6024250704,16.8420715567,15.4801041756
11,25021400100,Cottage Farm Historic District,13,250214001.0,MA,13,75.4350669675,76.5985274896,91.7511543956,95.985020149,84.475984961,89.3274986453,139507.802490234,7197.09948907444,13,22.7342854624,24.1683564019,22.8562402657
12,25021400200,North Brookline,14,250214002.0,MA,14,75.5816919897,76.7280424044,92.5852748326,97.1203912512,86.334971044,90.9430117917,84384.1335449219,4162.28037636986,14,7.2861304322,36.7885381369,32.8387135129
13,25021400300,North Brookline,15,250214003.0,MA,15,75.938451206,77.0575215957,91.5753122218,95.4571225783,85.5557650398,90.2237355849,38143.2326660156,4273.02346849164,15,15.6007141357,62.5551354757,59.5988237765
14,25021400400,North Brookline,16,250214004.0,MA,16,74.46073699,75.6674414873,91.9016683102,96.7412602901,83.9851857424,88.7549784184,63728.771484375,4957.23200307842,16,34.4393000078,28.0436317978,16.341520835
15,25021400600,Brookline,17,250214006.0,MA,17,74.2604861259,75.6398472786,91.0304882526,96.5611841679,83.6118652821,88.6419670582,49946.3356933594,5088.28047382724,17,31.5927415321,23.4759818338,18.6643458776
16,25021401000,Brookline,20,250214010.0,MA,20,72.8734111786,74.1115837097,89.6405715942,94.395154953,82.7367134094,87.4047470093,4693.76708984375,790.567886661061,20,100.0,0.0,0.0
17,25021401100,Brookline,21,250214011.0,MA,21,73.0676119935,74.3831007714,90.22275992,95.9914100497,82.6195057888,86.0891330195,55649.8662109375,6538.83678721622,21,52.5629504649,36.0353586297,19.5334421479
18,25021401200,Brookline,22,250214012.0,MA,22,72.6523465096,73.9576464714,89.1163794335,94.7834320068,82.0393475472,85.4984638945,57163.1251220703,6694.61091057063,22,51.9578499956,25.1483219694,6.91933055875
19,25021402101,West Roxbury,23,250214021.01,MA,23,75.0826721191,76.6759719849,90.6970405579,95.6507911682,83.7739562988,89.6963386536,1977.3857421875,413.388469524233,23,3.68963646229,3.79815518177,0.813890396093
20,25021402102,Dedham,24,250214021.02,MA,24,73.35665182,74.6691054507,90.0184278735,95.8782679899,82.9715659186,88.2264818577,207145.978393555,15444.9541698964,24,67.8643920356,25.3769572782,10.0444616277
21,25021402200,Dedham,25,250214022.0,MA,25,74.4719092186,75.8101942996,91.3062169501,96.7561416626,84.9957929571,90.1434576156,49781.7197265625,4114.37495247503,25,16.3319119131,68.677255217,65.4244690275
22,25021416102,Blue Hills Reservation,28,250214161.02,MA,28,72.9733942504,74.2831344604,89.2994939332,95.7410965786,82.1760169409,86.8381149128,92207.1030273438,9532.08925729851,28,71.7962641182,17.99196351,0.983927019983
23,25021416200,Milton,29,250214162.0,MA,29,74.7694656372,76.128024292,89.6417724609,96.2451065063,82.0507736206,87.4653633118,10964.072265625,1450.24775405623,29,55.1122484588,18.7507269978,1.04687681749
24,25021416300,Milton,30,250214163.0,MA,30,75.920560201,77.2824350993,90.593866984,97.2355651855,82.5155512492,87.8728688558,1534.23828125,422.699991453974,30,55.3966189857,4.03120936281,2.99089726918
25,25025000100,Brighton,31,250250001.0,MA,31,74.7509780806,75.9591489191,91.7390178698,96.1788019024,85.0871155115,89.9240776291,19302776.9753418,28287.3348264044,31,12.5803495482,46.4376443678,31.0389054044
26,25025000201,Brighton,32,250250002.01,MA,32,74.3961308534,75.6424149814,91.1934604409,95.731265633,84.4042112731,89.220134173,6442026.98461914,13219.4779897183,32,26.6369450481,31.9613163614,16.959236262
27,25025000202,Brighton,33,250250002.02,MA,33,74.4397536708,75.6738604763,91.3825552518,95.9391248883,84.7542432678,89.7025696047,6477637.28588867,12710.5731588799,33,25.1324025556,38.5276385028,20.4120542288
28,25025000301,Brighton,34,250250003.01,MA,34,74.1530272509,75.3890664781,90.731866454,95.3682297777,83.7523598945,88.7093192779,6134396.81884766,12111.3652765722,34,32.5417537768,30.149977574,15.9189906867
29,25025000302,Brighton,35,250250003.02,MA,35,73.9314973947,75.2762204021,90.3415827594,96.113685361,83.572467947,89.1487612276,6824006.05224609,12304.7081034298,35,38.6282438019,31.5729447387,14.0444632947
30,25025000401,Brighton,36,250250004.01,MA,36,74.4984104916,75.7257438571,91.6063069785,95.9140570181,84.6310594135,89.5307105435,4645739.11523438,9441.80114055742,36,25.7175643109,32.5743114732,19.9550941125
31,25025000402,Brighton,37,250250004.02,MA,37,74.1415559491,75.3847597464,90.6301607392,95.3520352932,83.9164536174,88.8013643696,8668933.12841797,11943.5459774569,37,33.006652848,39.3577215337,16.8876880728
32,25025000502,Brighton,38,250250005.02,MA,38,73.9547925718,75.2536131342,89.5330075089,93.6921237481,83.2446553987,87.7351213567,12644291.15271,18610.0789544195,38,30.5972675063,38.1174968722,18.646146173
33,25025000503,Brighton,39,250250005.03,MA,39,74.4190687468,75.6488894329,89.8458059425,93.7936606394,83.6332645579,88.4797876037,1510759.32128906,5864.83367573999,39,23.9188181086,23.472941245,16.1150462922
34,25025000504,Brighton,40,250250005.04,MA,40,74.5760193666,75.7741938696,91.1965142068,95.7451793991,83.8194427303,88.5966247474,3499846.78955078,10614.8703782978,40,27.1879169893,25.5870495087,17.4145877324
